type,name,sku,regular_price,sale_price,manage_stock,stock,backorders,stock_status,categories,tags,short_description,description,images,attributes:name,attributes:value(s),attributes:visible,attributes:taxonomy,parent_id
variable,Crop Top Azul Hortensia Camiseta,CR09,,,no,,no,,Prendas > Camisetas,"camiseta, personalizada, ropa",Producto personalizable: Crop Top Azul Hortensia Camiseta,"Crop Top Azul Hortensia Camiseta. Ideal para prendas > camisetas. Personalizable con tu diseño o marca.

Tallas disponibles: S, M","https://cdn.catalog-store.link/47c6337babd0c60cecd56af576ef9ad7_photo.webp, https://cdn.catalog-store.link/5a1aa3c2dab804cc3ce198365ac3a3fd_photo.webp, https://cdn.catalog-store.link/a0d4fcad11fdd6a28098ab1ec79152c7_photo.webp",Talla,S | M,1,1,
variation,Crop Top Azul Hortensia Camiseta - Talla S,CR09-S,10500,,yes,1,no,instock,Prendas > Camisetas,"camiseta, personalizada, ropa",Producto personalizable: Crop Top Azul Hortensia Camiseta,Crop Top Azul Hortensia Camiseta. Ideal para prendas > camisetas. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/47c6337babd0c60cecd56af576ef9ad7_photo.webp, https://cdn.catalog-store.link/5a1aa3c2dab804cc3ce198365ac3a3fd_photo.webp, https://cdn.catalog-store.link/a0d4fcad11fdd6a28098ab1ec79152c7_photo.webp",Talla,S,1,1,CR09
variation,Crop Top Azul Hortensia Camiseta - Talla M,CR09-M,10500,,yes,1,no,instock,Prendas > Camisetas,"camiseta, personalizada, ropa",Producto personalizable: Crop Top Azul Hortensia Camiseta,Crop Top Azul Hortensia Camiseta. Ideal para prendas > camisetas. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/47c6337babd0c60cecd56af576ef9ad7_photo.webp, https://cdn.catalog-store.link/5a1aa3c2dab804cc3ce198365ac3a3fd_photo.webp, https://cdn.catalog-store.link/a0d4fcad11fdd6a28098ab1ec79152c7_photo.webp",Talla,M,1,1,CR09
simple,Mug Fondo Color Cuchara 11 Onz-MUG:AMARILLO,053,9100,,yes,6,no,instock,Hogar > Mugs,"mug, sublimación, taza",Producto personalizable: Mug Fondo Color Cuchara 11 Onz-MUG:AMARILLO,Mug Fondo Color Cuchara 11 Onz-MUG:AMARILLO. Ideal para hogar > mugs. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/c3930d112a05f017ee6e9df1daa24897_photo.webp, https://cdn.catalog-store.link/c4c823963135d6880ccf52e7b7946dc5_photo.webp, https://cdn.catalog-store.link/ad5edc4008810d7d8d7680e90dc88263_photo.webp, https://cdn.catalog-store.link/714d21ff56dfc8bcc2f011126bc9299c_photo.webp, https://cdn.catalog-store.link/a45f491ec948ce1bb4c226bde2acde19_photo.webp, https://cdn.catalog-store.link/81b1d9f269cc4ab4dfe8feec3059522b_photo.webp, https://cdn.catalog-store.link/077ed29a76b259c985011d792c7ac8c1_photo.webp, https://cdn.catalog-store.link/e9145828155b7d412f4c1f60e369eae0_photo.webp, https://cdn.catalog-store.link/4af3af32d35724395c7b30c37f139518_photo.webp, https://cdn.catalog-store.link/b3e9857c7fff1ec5f7c19db450be67b8_photo.webp",,,,,
simple,Crop top Blanco Camiseta-COLOR:S,136,10500,,yes,6,no,instock,Prendas > Camisetas,"camiseta, personalizada, ropa",Producto personalizable: Crop top Blanco Camiseta-COLOR:S,Crop top Blanco Camiseta-COLOR:S. Ideal para prendas > camisetas. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/34c6328f2607dd62d7ab9c58fe1b022e_photo.webp,,,,,
simple,P.D. Blanco Niño-BLANCA:8,15A,9100,,yes,8,no,instock,Otros,personalizado,Producto personalizable: P.D. Blanco Niño-BLANCA:8,P.D. Blanco Niño-BLANCA:8. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/1fc1123dcfe3671a45342c93b2f4806e_photo.webp,,,,,
simple,Burda Azul Oscuro Oversize-burda azul oscuro:L,3475,35000,,yes,4,no,instock,Otros,personalizado,Producto personalizable: Burda Azul Oscuro Oversize-burda azul oscuro:L,Burda Azul Oscuro Oversize-burda azul oscuro:L. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/bd4f2314d840e282f478425ae32f61cf_photo.webp,,,,,
simple,Llavero En Aluminio Doble Cara-FIGURA:CORAZON,56-FR5,5600,,yes,2,no,instock,Otros,personalizado,Producto personalizable: Llavero En Aluminio Doble Cara-FIGURA:CORAZON,Llavero En Aluminio Doble Cara-FIGURA:CORAZON. Ideal para otros. Personalizable con tu diseño o marca.,"https://cdn.catalog-store.link/73b0451b6eaab44d62847bf32cd000f9_photo.webp, https://cdn.catalog-store.link/0da127dcb770f4d5b7f269fdbfde946d_photo.webp, https://cdn.catalog-store.link/76ffd227b0f20a2a22cf524deaa5dca0_photo.webp, https://cdn.catalog-store.link/92bb32007a29083b14dcdb8ffe50c65d_photo.webp, https://cdn.catalog-store.link/bcd176635b9f1c1a9d08bd2bf1cda08d_photo.webp",,,,,
simple,BLANCO caballero LOTE 2-BLANCO:M,6456,9100,,yes,6,no,instock,Otros,personalizado,Producto personalizable: BLANCO caballero LOTE 2-BLANCO:M,BLANCO caballero LOTE 2-BLANCO:M. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/a56d7746c11a498c4e2ae2084189e690_photo.webp,,,,,
simple,Caramañola Bicolor 600 ml-COLOR:Verde,89-78BH,12600,,yes,5,no,instock,Otros,personalizado,Producto personalizable: Caramañola Bicolor 600 ml-COLOR:Verde,Caramañola Bicolor 600 ml-COLOR:Verde. Ideal para otros. Personalizable con tu diseño o marca.,https://cdn.catalog-store.link/a5a4223e9cd91b43fa58bd0944ad7741_photo.webp,,,,,
